timestamp,provider,model,technique,latency_ms,input_tokens_est,context_tokens_est,total_est,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,retry_count,backoff_ms_total,overflow_handled,cost_estimate_usd,notes
2025-12-21T23:45:59.644074,openai,gemini-2.0-flash-exp,zero_shot,1187,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:46:00.510092,openai,gemini-2.0-flash-exp,few_shot,853,313,0,316,351,45,396,0,0,False,N/A,
2025-12-21T23:46:08.873903,openai,gemini-3-pro-preview,cot,8302,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:46:17.110124,google,gemini-3-pro-preview,cot,8170,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:46:28.000743,openai,gemini-3-pro-preview,tot,10875,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:08:55.732067,google,gemini-3-pro-preview,cot,8546,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:09:32.794935,google,gemini-3-pro-preview,cot,8616,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:09:50.053082,openai,gemini-2.0-flash-exp,zero_shot,1160,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:09:51.016401,openai,gemini-2.0-flash-exp,few_shot,950,313,0,316,351,54,405,0,0,False,N/A,
2025-12-22T00:09:59.592056,openai,gemini-3-pro-preview,cot,8493,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:10:08.104093,google,gemini-3-pro-preview,cot,8433,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:10:18.442579,openai,gemini-3-pro-preview,tot,10320,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:17:03.932342,openai,gemini-2.0-flash-exp,zero_shot,1191,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:17:04.734000,openai,gemini-2.0-flash-exp,few_shot,789,313,0,316,351,39,390,0,0,False,N/A,
2025-12-22T00:17:13.140272,openai,gemini-3-pro-preview,cot,8342,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:17:21.336251,google,gemini-3-pro-preview,cot,8132,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:17:32.519326,openai,gemini-3-pro-preview,tot,11164,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:20:58.141628,openai,gemini-2.0-flash-exp,zero_shot,1164,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:20:59.054402,openai,gemini-2.0-flash-exp,few_shot,900,313,0,316,351,54,405,0,0,False,N/A,
2025-12-22T00:21:07.322212,openai,gemini-3-pro-preview,cot,8203,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:21:15.711295,google,gemini-3-pro-preview,cot,8325,246,0,249,265,,265,0,0,False,N/A,
2025-12-22T00:21:26.227082,openai,gemini-3-pro-preview,tot,10505,76,0,79,76,,76,0,0,False,N/A,
2025-12-22T00:34:34.011513,openai,gemini-2.0-flash-exp,zero_shot,1113,52,0,55,49,2,51,0,0,False,N/A,
2025-12-22T00:34:34.820149,openai,gemini-2.0-flash-exp,few_shot,796,313,0,316,351,45,396,0,0,False,N/A,
2025-12-22T00:34:48.869988,openai,gemini-3-pro-preview,cot,13967,246,0,249,265,269,534,0,0,False,N/A,
2025-12-22T00:35:02.587183,google,gemini-3-pro-preview,cot,13651,246,0,249,265,311,576,0,0,False,N/A,
2025-12-22T00:35:46.037908,openai,gemini-3-pro-preview,tot,43435,76,0,79,76,,76,0,0,False,N/A,
2026-01-03T23:51:50.945267,google,gemini-2.0-flash-exp,json_extract,1512,140,0,143,164,44,208,0,0,False,N/A,
2026-01-03T23:52:05.970418,openai,gemini-2.0-flash-exp,json_extract_pydantic,1103,222,0,225,258,36,294,0,0,False,N/A,
2026-04-21T15:36:59.915623,openai,gpt-4o-mini,few_shot,3310,418,0,421,421,12,433,0,0,False,~$0.000070,
2026-04-21T15:37:51.805691,openai,gpt-4o-mini,few_shot,2623,409,0,412,412,13,425,0,0,False,~$0.000070,
2026-04-21T17:24:47.251658,openai,o3-mini,cot,4792,270,0,273,272,410,682,0,0,False,~$0.001912,
2026-04-21T17:27:51.293771,openai,o3-mini,cot,3510,270,0,273,272,280,552,0,0,False,~$0.001392,
2026-04-21T17:28:32.994338,openai,o3-mini,cot,6774,270,0,273,272,475,747,0,0,False,~$0.002172,
2026-04-21T17:30:10.159515,openai,o3-mini,cot,10079,276,0,279,278,1217,1495,0,0,False,~$0.005146,
2026-04-21T17:37:14.575424,openai,o3-mini,cot,11700,242,0,245,244,1240,1484,0,0,False,~$0.005204,
2026-04-21T17:38:26.662185,openai,o3-mini,cot,16693,242,0,245,244,1618,1862,0,0,False,~$0.006716,
2026-04-21T17:39:31.800930,openai,o3-mini,cot,8029,242,0,245,244,1031,1275,0,0,False,~$0.004368,
